
20114; "ADVOCACIA-GERAL DA UNIAO"                     
53205; "AGENCIA DE DESENVOLVIMENTO DA AMAZONIA"       
53206; "AGENCIA DE DESENVOLVIMENTO DO NORDESTE"       
20402; "AGENCIA ESPACIAL BRASILEIRA - AEB"            
44205; "AGENCIA NACIONAL DE AGUAS"                    
52201; "AGENCIA NACIONAL DE AVIACAO CIVIL"            
20214; "AGENCIA NACIONAL DE AVIAÇÃO CIVIL - ANAC"     
32210; "AGENCIA NACIONAL DE ENERGIA ELETRICA"         
32396; "AGENCIA NACIONAL DE MINERAÇÃO"                
36213; "AGENCIA NACIONAL DE SAUDE SUPLEMENTAR"        
41231; "AGENCIA NACIONAL DE TELECOMUNICACOES"         
39251; "AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS"  
68201; "AGENCIA NACIONAL DE TRANSPORTES AQUAVIARIOS"  
39250; "AGENCIA NACIONAL DE TRANSPORTES TERRESTRES"   
36212; "AGENCIA NACIONAL DE VIGILANCIA SANITARIA"     
20203; "AGENCIA NACIONAL DO CINEMA"                   
32205; "AGENCIA NACIONAL DO PETROLEO"                 
25280; "BANCO CENTRAL DO BRASIL"                      
25201; "BANCO CENTRAL DO BRASIL-ORC.FISCAL/SEG.SOCIAL"
25003; "BANCO DA AMAZONIA"                            
22283; "BANCO DA AMAZôNIA S/A"                        
25281; "BANCO DO BRASIL S/A"                          
25282; "BANCO DO NORDESTE DO BRASIL"                  
45282; "BANCO NACIONAL DE DESENV. ECONOMICO E SOCIAL" 
31280; "CAIXA DE CONSTRUCOES DE CASAS P/PESSOAL DA MB"
52211; "CAIXA DE FINANC. IMOBILIARIO DA AERONAUTICA"  
25220; "CAIXA ECONOMICA FEDERAL"                      
20925; "CALAMIDADES PUBLICAS - FUNCAP"                
1000; "CAMARA DOS DEPUTADOS"                         
25211; "CASA DA MOEDA DO BRASIL"                      
26217; "CENT.FED.DE EDUC.TECNOL.DE QUIMICA-NILOP./RJ" 
13100; "CENTRAIS DE ABASTECIMENTO DE MINAS GERAIS"    
26259; "CENTRO DE EDUCACAO TECNOLOGICA DA BAHIA"      
32201; "CENTRO DE PESQUISAS DE ENERGIA ELETRICA"      
26216; "CENTRO FED. DE EDUC. TECNOLOG. DO PIAUI-CEFET"
26323; "CENTRO FED. DE EDUC. TECNOLOGICA DE PETROLINA"
26205; "CENTRO FED. DE EDUCACAO TECNOLOGICA DE CAMPOS"
26208; "CENTRO FED. DE EDUCACAO TECNOLOGICA DE GOIAS" 
26222; "CENTRO FED.DE EDUC. TECNOLOGIA DE RORAIMA"    
26215; "CENTRO FED.DE EDUC. TECNOLOGICA DE PERNAMBUCO"
26219; "CENTRO FED.DE EDUC.TECNOLOGICA DE S.CATARINA" 
26207; "CENTRO FED.DE EDUC.TECNOLOGICA DO ESPIR.SANTO"
26256; "CENTRO FED.EDUC.TECN.CELSO SUCKOW DA FONSECA" 
26331; "CENTRO FED.EDUCACAO TECNOLOGICA S.VICENTE SUL"
26203; "CENTRO FEDERAL DE ED.TECNOLOGICA DO AMAZONAS" 
26335; "CENTRO FEDERAL DE EDUC TECNOLOGICA DE UBERABA"
26211; "CENTRO FEDERAL DE EDUC. TECNOL. DE OURO PRETO"
26337; "CENTRO FEDERAL DE EDUC. TECNOLOGICA DE URUTAI"
26210; "CENTRO FEDERAL DE EDUC.TECNOL.DO M. GROSSO"   
26301; "CENTRO FEDERAL DE EDUCAC.TECNOLOGICA DA BAHIA"
26325; "CENTRO FEDERAL DE EDUCACAO TEC. DE RIO VERDE" 
26221; "CENTRO FEDERAL DE EDUCACAO TEC. DE SERGIPE"   
26309; "CENTRO FEDERAL DE EDUCACAO TEC.DE B.GONCALVES"
26220; "CENTRO FEDERAL DE EDUCACAO TECNOL DE S.PAULO" 
26305; "CENTRO FEDERAL DE EDUCACAO TECNOL. DE BAMBUI" 
26213; "CENTRO FEDERAL DE EDUCACAO TECNOL.DA PARAIBA" 
26202; "CENTRO FEDERAL DE EDUCACAO TECNOL.DE ALAGOAS" 
26319; "CENTRO FEDERAL DE EDUCACAO TECNOL.DE JANUARIA"
26206; "CENTRO FEDERAL DE EDUCACAO TECNOL.DO CEARA"   
26209; "CENTRO FEDERAL DE EDUCACAO TECNOL.DO MARANHAO"
26212; "CENTRO FEDERAL DE EDUCACAO TECNOL.DO PARA"    
26218; "CENTRO FEDERAL DE EDUCACAO TECNOL.DO RN"      
26324; "CENTRO FEDERAL DE EDUCACAO TECNOLOG.RIO POMBA"
26257; "CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MG" 
24209; "CENTRO NACIONAL DE TEC ELETRONICA AVANçADA SA"
22500; "CIA.DE ENTREPOSTOS E ARMAZENS GER.DE S.PAULO" 
26201; "COLEGIO PEDRO II"                             
52133; "COM.MARINHA - FUNDO DESENV.ENS.PROF.MARITIMO" 
52111; "COMANDO DA AERONAUTICA"                       
52131; "COMANDO DA MARINHA"                           
52132; "COMANDO DA MARINHA - FUNDO NAVAL"             
52121; "COMANDO DO EXERCITO"                          
22801; "COMIS.EXEC.DO PLANO DA LAVOURA CACAUEIRA/MAPA"
25203; "COMISSAO DE VALORES MOBILIARIOS"              
20301; "COMISSAO NACIONAL DE ENERGIA NUCLEAR"         
29214; "COMPANHIA BRASILEIRA DE TRENS URBANOS"        
22207; "COMPANHIA DE COLONIZACAO DO NORDESTE"         
22203; "COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO"
20605; "COMPANHIA DE DESENVOLVIMENTO DE BARCARENA"    
29202; "COMPANHIA DE NAVEGACAO DO SAO FRANCISCO"      
